"","书名","作者","价格","评分"
"1","红楼梦","[清] 曹雪芹 著 "," 59.70元","9.6"
"2","活着","余华 "," 20.00元","9.4"
"3","1984","[英] 乔治·奥威尔 "," 28.00","9.4"
"4","三体全集","刘慈欣 "," 168.00元","9.5"
"5","哈利·波特","J.K.罗琳 (J.K.Rowling) "," 498.00元","9.7"
"6","百年孤独","[哥伦比亚] 加西亚·马尔克斯 "," 39.50元","9.3"
"7","飘","[美国] 玛格丽特·米切尔 "," 40.00元","9.3"
"8","房思琪的初恋乐园","林奕含 "," 45.00元","9.2"
"9","动物农场","[英] 乔治·奥威尔 "," 10.00元","9.3"
"10","三国演义（全二册）","[明] 罗贯中 "," 39.50元","9.3"
"11","福尔摩斯探案全集（上中下）","[英] 阿·柯南道尔 ","68.00元","9.3"
"12","白夜行","[日] 东野圭吾 "," 39.50元","9.2"
"13","小王子","[法] 圣埃克苏佩里 "," 22.00元","9.1"
"14","撒哈拉的故事","三毛 "," 15.80元","9.2"
"15","安徒生童话故事集","（丹麦）安徒生 "," 25.00元","9.3"
"16","天龙八部","金庸 "," 96.00元","9.2"
"17","呐喊","鲁迅 "," 0.36元","9.2"
"18","悉达多","[德] 赫尔曼·黑塞 "," 32.00元","9.3"
"19","杀死一只知更鸟","[美] 哈珀·李 "," 32.00元","9.2"
"20","邓小平时代","【美】傅高义 (Ezra.F.Vogel) "," 88.00元","9.3"
"21","明朝那些事儿（1-9）","当年明月 "," 358.20元","9.2"
"22","失踪的孩子","[意] 埃莱娜·费兰特 "," 62.00元","9.2"
"23","新名字的故事","[意] 埃莱娜·费兰特 "," 59.00元","9.2"
"24","沉默的大多数","王小波 "," 27.00元","9.1"
"25","野草","鲁迅 "," 0.20元","9.5"
"26","中国历代政治得失","钱穆 "," 12.00元","9.2"
"27","局外人","[法] 阿尔贝·加缪 "," 22.00元","9.1"
"28","人类简史","[以色列] 尤瓦尔·赫拉利 "," 68.00元","9.1"
"29","白鹿原","陈忠实 "," 39.00元","9.2"
"30","平凡的世界（全三部）","路遥 "," 64.00元","9.0"
"31","乡土中国","费孝通 "," 38.00","9.2"
"32","围城","钱锺书 "," 19.00","9.0"
"33","笑傲江湖（全四册）","金庸 "," 76.80元","9.1"
"34","罗杰疑案","[英] 阿加莎·克里斯蒂 "," 28.00元","9.2"
"35","彷徨","鲁迅 "," 0.37元","9.3"
"36","我与地坛","史铁生 "," 25.00元","9.2"
"37","东方快车谋杀案","[英] 阿加莎·克里斯蒂 "," 18.00元","9.1"
"38","肖申克的救赎","[美] 斯蒂芬·金 "," 29.90元","9.1"
"39","献给阿尔吉侬的花束","[美] 丹尼尔·凯斯 "," 36.00元","9.1"
"40","许三观卖血记","余华 "," 24.00元","9.2"
"41","基督山伯爵","[法国] 大仲马 "," 43.90元","9.1"
"42","江城","[美] 彼得·海斯勒 "," 36.00元","9.1"
"43","霍乱时期的爱情","[哥伦比亚] 加西亚·马尔克斯 "," 39.50元","9.0"
"44","卡拉马佐夫兄弟","[俄] 陀思妥耶夫斯基 "," CNY 78.00","9.6"
"45","城南旧事","林海音 文 "," 16.00元","9.1"
"46","故事新编","鲁迅 "," 0.31 元","9.4"
"47","万历十五年","[美] 黄仁宇 "," 18.00元","9.0"
"48","月亮和六便士","[英] 毛姆 "," 15.00元","9.0"
"49","艺术的故事","[英] 贡布里希 (Sir E.H.Gombrich) "," 280.00","9.5"
"50","朝花夕拾","鲁迅 "," 0.25元","9.1"
"51","射雕英雄传","金庸 "," 47.00元","9.1"
"52","追风筝的人","[美] 卡勒德·胡赛尼 "," 29.00元","8.9"
"53","厌女","上野千鹤子 "," 28.00","9.1"
"54","置身事内","兰小欢 "," 65.00元","9.1"
"55","寻路中国","[美] 彼得·海斯勒 "," 33.00元","9.0"
"56","刀锋","[英]毛姆 "," 18.00元","9.0"
"57","树上的男爵","[意大利]伊塔洛·卡尔维诺 "," 30.00元","9.1"
"58","秋园","杨本芬 "," 38.00元","9.0"
"59","格林童话全集","[德国]格林兄弟 "," 21.45元","9.0"
"60","中国少年儿童百科全书（全四册）","林崇德 主编 "," 168.00元","9.4"
"61","无人生还","[英] 阿加莎・克里斯蒂 "," 19.00","9.0"
